step,split,component,loss
0,train,PDE,4.603929e+01
0,train,BC1(DirichletBC),5.897411e+00
0,train,BC2(DirichletBC),2.817518e-01
0,train,IC1(IC),9.071501e-01
0,test,PDE,4.227714e+01
0,test,BC1(DirichletBC),5.897411e+00
0,test,BC2(DirichletBC),2.817518e-01
0,test,IC1(IC),9.071501e-01
10,train,PDE,3.384894e+00
10,train,BC1(DirichletBC),2.445961e+00
10,train,BC2(DirichletBC),4.427186e-01
10,train,IC1(IC),3.285399e-01
10,test,PDE,3.339668e+00
10,test,BC1(DirichletBC),2.529173e+00
10,test,BC2(DirichletBC),4.348159e-01
10,test,IC1(IC),3.394720e-01
20,train,PDE,2.966056e+00
20,train,BC1(DirichletBC),2.969987e+00
20,train,BC2(DirichletBC),3.129672e-01
20,train,IC1(IC),1.239830e-01
20,test,PDE,2.989529e+00
20,test,BC1(DirichletBC),3.004949e+00
20,test,BC2(DirichletBC),3.648505e-01
20,test,IC1(IC),1.506590e-01
30,train,PDE,1.396176e+00
30,train,BC1(DirichletBC),1.523792e+00
30,train,BC2(DirichletBC),9.057187e-01
30,train,IC1(IC),9.022237e-02
30,test,PDE,1.436501e+00
30,test,BC1(DirichletBC),1.483327e+00
30,test,BC2(DirichletBC),9.968184e-01
30,test,IC1(IC),1.407209e-01
40,train,PDE,7.674232e-01
40,train,BC1(DirichletBC),8.222027e-01
40,train,BC2(DirichletBC),1.249663e+00
40,train,IC1(IC),1.549340e-01
40,test,PDE,7.674194e-01
40,test,BC1(DirichletBC),8.155154e-01
40,test,BC2(DirichletBC),1.247831e+00
40,test,IC1(IC),1.495322e-01
50,train,PDE,4.191973e-01
50,train,BC1(DirichletBC),9.892057e-01
50,train,BC2(DirichletBC),8.017771e-01
50,train,IC1(IC),1.826445e-01
50,test,PDE,4.111075e-01
50,test,BC1(DirichletBC),9.752918e-01
50,test,BC2(DirichletBC),8.181717e-01
50,test,IC1(IC),1.689537e-01
60,train,PDE,3.554137e-01
60,train,BC1(DirichletBC),8.080584e-01
60,train,BC2(DirichletBC),8.735338e-01
60,train,IC1(IC),1.897247e-01
60,test,PDE,3.530188e-01
60,test,BC1(DirichletBC),8.113187e-01
60,test,BC2(DirichletBC),8.635164e-01
60,test,IC1(IC),1.945535e-01
70,train,PDE,2.230542e-01
70,train,BC1(DirichletBC),8.415135e-01
70,train,BC2(DirichletBC),8.518275e-01
70,train,IC1(IC),1.216165e-01
70,test,PDE,2.212116e-01
70,test,BC1(DirichletBC),8.458502e-01
70,test,BC2(DirichletBC),8.190317e-01
70,test,IC1(IC),1.206924e-01
80,train,PDE,1.890417e-01
80,train,BC1(DirichletBC),8.166786e-01
80,train,BC2(DirichletBC),8.321151e-01
80,train,IC1(IC),1.353716e-01
80,test,PDE,1.861330e-01
80,test,BC1(DirichletBC),8.307362e-01
80,test,BC2(DirichletBC),8.284046e-01
80,test,IC1(IC),1.500062e-01
90,train,PDE,1.934070e-01
90,train,BC1(DirichletBC),7.900840e-01
90,train,BC2(DirichletBC),8.080225e-01
90,train,IC1(IC),1.238915e-01
90,test,PDE,1.909038e-01
90,test,BC1(DirichletBC),7.882403e-01
90,test,BC2(DirichletBC),8.036566e-01
90,test,IC1(IC),1.275536e-01
100,train,PDE,2.172208e-01
100,train,BC1(DirichletBC),7.567278e-01
100,train,BC2(DirichletBC),7.789947e-01
100,train,IC1(IC),1.279478e-01
100,test,PDE,2.145389e-01
100,test,BC1(DirichletBC),7.624537e-01
100,test,BC2(DirichletBC),7.794796e-01
100,test,IC1(IC),1.403304e-01
