step,split,component,loss
0,train,PDE,1.580058e+01
0,train,BC(u=-1 at x=-1),1.278713e+00
0,train,BC(u=-1 at x=1),5.885527e-01
0,train,IC(u=x^2*cos(pi*x)),9.506735e-01
0,test,PDE,1.232633e+01
0,test,BC(u=-1 at x=-1),1.278713e+00
0,test,BC(u=-1 at x=1),5.885527e-01
0,test,IC(u=x^2*cos(pi*x)),9.506735e-01
10,train,PDE,1.485960e+00
10,train,BC(u=-1 at x=-1),2.725185e-01
10,train,BC(u=-1 at x=1),8.267664e-01
10,train,IC(u=x^2*cos(pi*x)),1.319013e-01
10,test,PDE,1.155034e+00
10,test,BC(u=-1 at x=-1),2.725185e-01
10,test,BC(u=-1 at x=1),8.267664e-01
10,test,IC(u=x^2*cos(pi*x)),1.319013e-01
20,train,PDE,7.117091e-01
20,train,BC(u=-1 at x=-1),1.760942e-01
20,train,BC(u=-1 at x=1),9.700153e-01
20,train,IC(u=x^2*cos(pi*x)),2.870578e-02
20,test,PDE,6.471548e-01
20,test,BC(u=-1 at x=-1),1.760942e-01
20,test,BC(u=-1 at x=1),9.700153e-01
20,test,IC(u=x^2*cos(pi*x)),2.870578e-02
30,train,PDE,6.637238e-01
30,train,BC(u=-1 at x=-1),1.315890e-01
30,train,BC(u=-1 at x=1),5.448371e-01
30,train,IC(u=x^2*cos(pi*x)),2.481187e-02
30,test,PDE,5.726867e-01
30,test,BC(u=-1 at x=-1),1.315890e-01
30,test,BC(u=-1 at x=1),5.448371e-01
30,test,IC(u=x^2*cos(pi*x)),2.481187e-02
40,train,PDE,6.986815e-01
40,train,BC(u=-1 at x=-1),5.347658e-02
40,train,BC(u=-1 at x=1),3.996166e-01
40,train,IC(u=x^2*cos(pi*x)),-2.083950e-02
40,test,PDE,6.358845e-01
40,test,BC(u=-1 at x=-1),5.347658e-02
40,test,BC(u=-1 at x=1),3.996166e-01
40,test,IC(u=x^2*cos(pi*x)),-2.083950e-02
50,train,PDE,4.255377e-01
50,train,BC(u=-1 at x=-1),3.464465e-02
50,train,BC(u=-1 at x=1),4.483405e-01
50,train,IC(u=x^2*cos(pi*x)),-2.200462e-02
50,test,PDE,4.226036e-01
50,test,BC(u=-1 at x=-1),3.464465e-02
50,test,BC(u=-1 at x=1),4.483405e-01
50,test,IC(u=x^2*cos(pi*x)),-2.200462e-02
60,train,PDE,4.027149e-01
60,train,BC(u=-1 at x=-1),2.906642e-03
60,train,BC(u=-1 at x=1),2.890334e-01
60,train,IC(u=x^2*cos(pi*x)),-6.220623e-02
60,test,PDE,3.693938e-01
60,test,BC(u=-1 at x=-1),2.906642e-03
60,test,BC(u=-1 at x=1),2.890334e-01
60,test,IC(u=x^2*cos(pi*x)),-6.220623e-02
70,train,PDE,3.876765e-01
70,train,BC(u=-1 at x=-1),-1.273103e-02
70,train,BC(u=-1 at x=1),1.547790e-01
70,train,IC(u=x^2*cos(pi*x)),-8.484003e-02
70,test,PDE,3.800690e-01
70,test,BC(u=-1 at x=-1),-1.273103e-02
70,test,BC(u=-1 at x=1),1.547790e-01
70,test,IC(u=x^2*cos(pi*x)),-8.484003e-02
80,train,PDE,3.125074e-01
80,train,BC(u=-1 at x=-1),-3.004680e-02
80,train,BC(u=-1 at x=1),4.189458e-03
80,train,IC(u=x^2*cos(pi*x)),-1.281863e-01
80,test,PDE,3.539312e-01
80,test,BC(u=-1 at x=-1),-3.004680e-02
80,test,BC(u=-1 at x=1),4.189458e-03
80,test,IC(u=x^2*cos(pi*x)),-1.281863e-01
90,train,PDE,2.712103e-01
90,train,BC(u=-1 at x=-1),-4.686575e-02
90,train,BC(u=-1 at x=1),-4.392776e-02
90,train,IC(u=x^2*cos(pi*x)),-1.610852e-01
90,test,PDE,3.008404e-01
90,test,BC(u=-1 at x=-1),-4.686575e-02
90,test,BC(u=-1 at x=1),-4.392776e-02
90,test,IC(u=x^2*cos(pi*x)),-1.610852e-01
100,train,PDE,2.180626e-01
100,train,BC(u=-1 at x=-1),-6.321833e-02
100,train,BC(u=-1 at x=1),-6.490075e-02
100,train,IC(u=x^2*cos(pi*x)),-1.874908e-01
100,test,PDE,2.582209e-01
100,test,BC(u=-1 at x=-1),-6.321833e-02
100,test,BC(u=-1 at x=1),-6.490075e-02
100,test,IC(u=x^2*cos(pi*x)),-1.874908e-01
