iteration,train_loss,test_loss
0,[13.788862    0.15998751  1.313517    0.7049197 ],[12.471007    0.15998751  1.313517    0.7049197 ]
10,[2.218524   1.981773   0.0598465  0.28408533],[2.1648118  1.981773   0.0598465  0.28408533]
20,[2.4686997  0.16582642 0.52788377 0.20825693],[2.4447906  0.16582642 0.52788377 0.20825693]
30,[1.3473889  0.2804209  0.09208594 0.10267233],[1.5450554  0.2804209  0.09208594 0.10267233]
40,[1.0179431  0.13174133 0.1991028  0.10345706],[1.1404785  0.13174133 0.1991028  0.10345706]
50,[0.7105808  0.21394207 0.08203693 0.09010523],[0.8347345  0.21394207 0.08203693 0.09010523]
60,[0.598274   0.10319617 0.14007924 0.08477089],[0.7095932  0.10319617 0.14007924 0.08477089]
70,[0.5632716  0.08490501 0.13637961 0.0811189 ],[0.6540582  0.08490501 0.13637961 0.0811189 ]
80,[0.51278174 0.10306832 0.10436205 0.07186006],[0.600193   0.10306832 0.10436205 0.07186006]
90,[0.42211902 0.08775529 0.10668243 0.06957592],[0.47965768 0.08775529 0.10668243 0.06957592]
100,[0.3533165  0.06182018 0.11699501 0.07011348],[0.41940522 0.06182018 0.11699501 0.07011348]
