step,split,component,loss
0,train,PDE,1.618924e+01
0,train,BC1(DirichletBC),1.470110e+00
0,train,BC2(DirichletBC),1.415069e+00
0,train,IC1(IC),1.077769e+00
0,test,PDE,1.649959e+01
0,test,BC1(DirichletBC),1.470110e+00
0,test,BC2(DirichletBC),1.415069e+00
0,test,IC1(IC),1.077769e+00
10,train,PDE,7.706894e-01
10,train,BC1(DirichletBC),2.025420e-01
10,train,BC2(DirichletBC),3.638328e-01
10,train,IC1(IC),1.813807e-01
10,test,PDE,7.854022e-01
10,test,BC1(DirichletBC),1.965890e-01
10,test,BC2(DirichletBC),3.606026e-01
10,test,IC1(IC),7.446146e-01
20,train,PDE,3.066571e-01
20,train,BC1(DirichletBC),7.011413e-02
20,train,BC2(DirichletBC),8.318388e-03
20,train,IC1(IC),2.876429e-01
20,test,PDE,3.231220e-01
20,test,BC1(DirichletBC),7.127877e-02
20,test,BC2(DirichletBC),9.553322e-03
20,test,IC1(IC),5.158736e-01
30,train,PDE,1.683403e-01
30,train,BC1(DirichletBC),3.716853e-02
30,train,BC2(DirichletBC),8.007712e-02
30,train,IC1(IC),1.182466e-01
30,test,PDE,1.718696e-01
30,test,BC1(DirichletBC),3.670083e-02
30,test,BC2(DirichletBC),8.130851e-02
30,test,IC1(IC),6.141570e-01
40,train,PDE,1.264936e-01
40,train,BC1(DirichletBC),1.016470e-02
40,train,BC2(DirichletBC),1.964174e-03
40,train,IC1(IC),1.869661e-01
40,test,PDE,1.275333e-01
40,test,BC1(DirichletBC),1.122283e-02
40,test,BC2(DirichletBC),2.186818e-03
40,test,IC1(IC),6.868076e-01
50,train,PDE,8.848452e-02
50,train,BC1(DirichletBC),1.436827e-02
50,train,BC2(DirichletBC),2.444443e-02
50,train,IC1(IC),1.239828e-01
50,test,PDE,8.977786e-02
50,test,BC1(DirichletBC),1.340138e-02
50,test,BC2(DirichletBC),2.516172e-02
50,test,IC1(IC),6.286538e-01
60,train,PDE,7.044874e-02
60,train,BC1(DirichletBC),4.200904e-03
60,train,BC2(DirichletBC),4.868965e-03
60,train,IC1(IC),1.392274e-01
60,test,PDE,7.134251e-02
60,test,BC1(DirichletBC),4.597419e-03
60,test,BC2(DirichletBC),4.845998e-03
60,test,IC1(IC),6.067246e-01
70,train,PDE,7.288986e-02
70,train,BC1(DirichletBC),7.209290e-03
70,train,BC2(DirichletBC),6.822010e-03
70,train,IC1(IC),1.308371e-01
70,test,PDE,7.419412e-02
70,test,BC1(DirichletBC),6.591601e-03
70,test,BC2(DirichletBC),6.906284e-03
70,test,IC1(IC),6.868319e-01
80,train,PDE,6.267189e-02
80,train,BC1(DirichletBC),6.948511e-03
80,train,BC2(DirichletBC),6.227705e-03
80,train,IC1(IC),1.227976e-01
80,test,PDE,6.371291e-02
80,test,BC1(DirichletBC),6.436421e-03
80,test,BC2(DirichletBC),6.459746e-03
80,test,IC1(IC),6.423584e-01
90,train,PDE,6.797946e-02
90,train,BC1(DirichletBC),5.611393e-03
90,train,BC2(DirichletBC),6.334359e-03
90,train,IC1(IC),1.028555e-01
90,test,PDE,6.949963e-02
90,test,BC1(DirichletBC),6.046638e-03
90,test,BC2(DirichletBC),6.335111e-03
90,test,IC1(IC),7.335287e-01
100,train,PDE,5.991859e-02
100,train,BC1(DirichletBC),5.446801e-03
100,train,BC2(DirichletBC),4.839033e-03
100,train,IC1(IC),1.082650e-01
100,test,PDE,6.128190e-02
100,test,BC1(DirichletBC),6.035162e-03
100,test,BC2(DirichletBC),5.198120e-03
100,test,IC1(IC),6.776075e-01
