iteration,train_loss,test_loss
0,[11.211458   6.9456625  3.9513762  1.4492702],[12.088911   6.9456625  3.9513762  1.4492702]
10,[0.09441743 0.54423004 0.27114677 1.3603848 ],[0.07522202 0.54423004 0.27114677 1.3603848 ]
20,[0.15415892 0.7307811  0.3627026  0.0957741 ],[0.16279308 0.7307811  0.3627026  0.0957741 ]
30,[0.03230534 0.01935993 0.01522845 0.46062347],[0.0318168  0.01935993 0.01522845 0.46062347]
40,[0.05723953 0.0313868  0.02481729 0.1770058 ],[0.05791314 0.0313868  0.02481729 0.1770058 ]
50,[0.04424372 0.03016218 0.01855113 0.16057196],[0.04484301 0.03016218 0.01855113 0.16057196]
60,[0.03835135 0.00320269 0.00443205 0.19452418],[0.04019351 0.00320269 0.00443205 0.19452418]
70,[0.06599012 0.01567794 0.01548815 0.12937765],[0.06827042 0.01567794 0.01548815 0.12937765]
80,[0.056605   0.00481576 0.0044218  0.15083838],[0.05863891 0.00481576 0.0044218  0.15083838]
90,[0.06366564 0.00898344 0.00802099 0.12860684],[0.06620894 0.00898344 0.00802099 0.12860684]
100,[0.05883998 0.00603694 0.00491492 0.13305889],[0.06110687 0.00603694 0.00491492 0.13305889]
