step,split,component,loss
0,train,PDE,8.898398e+01
0,train,BC1(DirichletBC),9.970806e-01
0,train,IC1(IC),1.363912e+00
0,test,PDE,9.150381e+01
0,test,BC1(DirichletBC),9.970806e-01
0,test,IC1(IC),1.363912e+00
10,train,PDE,5.051455e+00
10,train,BC1(DirichletBC),1.439931e-01
10,train,IC1(IC),1.352190e-01
10,test,PDE,5.187020e+00
10,test,BC1(DirichletBC),1.506572e-01
10,test,IC1(IC),1.637599e-01
20,train,PDE,2.378509e+00
20,train,BC1(DirichletBC),6.826659e-02
20,train,IC1(IC),4.824008e-01
20,test,PDE,2.407181e+00
20,test,BC1(DirichletBC),5.706907e-02
20,test,IC1(IC),4.439812e-01
30,train,PDE,8.636727e-01
30,train,BC1(DirichletBC),2.220756e-02
30,train,IC1(IC),1.201524e-01
30,test,PDE,8.845409e-01
30,test,BC1(DirichletBC),3.282063e-02
30,test,IC1(IC),1.516340e-01
40,train,PDE,2.835486e-01
40,train,BC1(DirichletBC),3.483598e-02
40,train,IC1(IC),1.579575e-01
40,test,PDE,2.858895e-01
40,test,BC1(DirichletBC),4.807233e-02
40,test,IC1(IC),1.665413e-01
50,train,PDE,1.512355e-01
50,train,BC1(DirichletBC),2.753594e-02
50,train,IC1(IC),2.426194e-01
50,test,PDE,1.522491e-01
50,test,BC1(DirichletBC),2.833039e-02
50,test,IC1(IC),2.641978e-01
60,train,PDE,1.295527e-01
60,train,BC1(DirichletBC),3.686832e-02
60,train,IC1(IC),1.340428e-01
60,test,PDE,1.310862e-01
60,test,BC1(DirichletBC),5.238904e-02
60,test,IC1(IC),1.548380e-01
70,train,PDE,7.041588e-02
70,train,BC1(DirichletBC),4.161711e-02
70,train,IC1(IC),1.399588e-01
70,test,PDE,7.066382e-02
70,test,BC1(DirichletBC),4.876509e-02
70,test,IC1(IC),1.611645e-01
80,train,PDE,5.402380e-02
80,train,BC1(DirichletBC),4.048844e-02
80,train,IC1(IC),1.576989e-01
80,test,PDE,5.465853e-02
80,test,BC1(DirichletBC),4.772872e-02
80,test,IC1(IC),1.888484e-01
90,train,PDE,5.407004e-02
90,train,BC1(DirichletBC),4.085906e-02
90,train,IC1(IC),1.253020e-01
90,test,PDE,5.441583e-02
90,test,BC1(DirichletBC),4.974567e-02
90,test,IC1(IC),1.524390e-01
100,train,PDE,4.923274e-02
100,train,BC1(DirichletBC),4.411361e-02
100,train,IC1(IC),1.208124e-01
100,test,PDE,4.948028e-02
100,test,BC1(DirichletBC),5.038305e-02
100,test,IC1(IC),1.482269e-01
