iteration,train_loss,test_loss
10,[2.1441596  0.24281245 0.15771323],[2.5018396  0.24281245 0.15771323]
20,[0.13452642 0.05230725 0.20405598],[0.15360366 0.05230725 0.20405598]
30,[0.07281779 0.03144541 0.13467315],[0.05282405 0.03144541 0.13467315]
40,[0.022135   0.01594946 0.07073419],[0.01490977 0.01594946 0.07073419]
50,[0.01661984 0.02511399 0.04220819],[0.00774565 0.02511399 0.04220819]
60,[0.01552008 0.02634641 0.03550563],[0.00585297 0.02634641 0.03550563]
70,[0.01521118 0.02185608 0.03389018],[0.00579671 0.02185608 0.03389018]
80,[0.01355519 0.01857243 0.03240027],[0.00496342 0.01857243 0.03240027]
90,[0.01131968 0.01618836 0.03194562],[0.00404183 0.01618836 0.03194562]
100,[0.01020652 0.0147034  0.02999088],[0.00336861 0.0147034  0.02999088]
110,[0.00916276 0.01305891 0.02854062],[0.00296572 0.01305891 0.02854062]
