step,split,component,loss
0,train,PDE,8.766735e+03
0,train,BC(exact u on boundary),1.161661e-01
0,test,PDE,1.025455e+04
0,test,BC(exact u on boundary),1.161661e-01
10,train,PDE,8.766021e+03
10,train,BC(exact u on boundary),2.565706e-02
10,test,PDE,1.025376e+04
10,test,BC(exact u on boundary),2.565706e-02
20,train,PDE,8.735801e+03
20,train,BC(exact u on boundary),6.332438e-02
20,test,PDE,1.021936e+04
20,test,BC(exact u on boundary),6.332438e-02
30,train,PDE,8.687492e+03
30,train,BC(exact u on boundary),7.444098e-01
30,test,PDE,1.016109e+04
30,test,BC(exact u on boundary),7.444098e-01
40,train,PDE,8.655894e+03
40,train,BC(exact u on boundary),3.671095e-01
40,test,PDE,1.011990e+04
40,test,BC(exact u on boundary),3.671095e-01
50,train,PDE,8.637588e+03
50,train,BC(exact u on boundary),3.668306e-01
50,test,PDE,1.009427e+04
50,test,BC(exact u on boundary),3.668306e-01
60,train,PDE,8.610315e+03
60,train,BC(exact u on boundary),5.952799e-01
60,test,PDE,1.006023e+04
60,test,BC(exact u on boundary),5.952799e-01
70,train,PDE,8.543463e+03
70,train,BC(exact u on boundary),1.716924e+00
70,test,PDE,9.974780e+03
70,test,BC(exact u on boundary),1.716924e+00
80,train,PDE,8.293277e+03
80,train,BC(exact u on boundary),1.526209e+00
80,test,PDE,9.638822e+03
80,test,BC(exact u on boundary),1.526209e+00
90,train,PDE,7.680486e+03
90,train,BC(exact u on boundary),1.609743e+00
90,test,PDE,8.916430e+03
90,test,BC(exact u on boundary),1.609743e+00
100,train,PDE,7.367405e+03
100,train,BC(exact u on boundary),2.184497e+00
100,test,PDE,8.508450e+03
100,test,BC(exact u on boundary),2.184497e+00
