step,split,component,loss
0,train,PDE,9.812572e+03
0,train,BC1(bottom),2.741195e-01
0,train,BC2(right),5.295680e-01
0,train,BC3(top),2.179527e-01
0,train,BC4(left),5.722717e-01
0,test,PDE,1.043460e+04
0,test,BC1(bottom),2.741195e-01
0,test,BC2(right),5.295680e-01
0,test,BC3(top),2.179527e-01
0,test,BC4(left),5.722717e-01
10,train,PDE,8.806184e+03
10,train,BC1(bottom),1.947467e-01
10,train,BC2(right),6.443016e-01
10,train,BC3(top),3.094112e-01
10,train,BC4(left),3.410986e-01
10,test,PDE,9.363728e+03
10,test,BC1(bottom),2.131411e-01
10,test,BC2(right),5.944324e-01
10,test,BC3(top),3.035932e-01
10,test,BC4(left),3.831882e-01
20,train,PDE,7.487485e+03
20,train,BC1(bottom),2.523108e-01
20,train,BC2(right),8.655461e-01
20,train,BC3(top),8.604822e-01
20,train,BC4(left),5.431019e-01
20,test,PDE,7.943010e+03
20,test,BC1(bottom),2.515754e-01
20,test,BC2(right),8.833353e-01
20,test,BC3(top),8.187696e-01
20,test,BC4(left),6.615447e-01
30,train,PDE,6.788428e+03
30,train,BC1(bottom),1.068795e-01
30,train,BC2(right),5.568856e-01
30,train,BC3(top),5.606122e-01
30,train,BC4(left),1.373309e+00
30,test,PDE,7.170688e+03
30,test,BC1(bottom),1.101689e-01
30,test,BC2(right),5.329887e-01
30,test,BC3(top),5.349689e-01
30,test,BC4(left),1.442359e+00
40,train,PDE,6.086798e+03
40,train,BC1(bottom),2.689184e-02
40,train,BC2(right),8.680480e-01
40,train,BC3(top),2.122813e-01
40,train,BC4(left),1.593529e+00
40,test,PDE,6.409464e+03
40,test,BC1(bottom),2.762521e-02
40,test,BC2(right),7.416735e-01
40,test,BC3(top),1.706961e-01
40,test,BC4(left),1.687335e+00
50,train,PDE,5.303717e+03
50,train,BC1(bottom),5.014981e-02
50,train,BC2(right),1.462107e+00
50,train,BC3(top),1.043385e-01
50,train,BC4(left),1.167171e+00
50,test,PDE,5.553571e+03
50,test,BC1(bottom),5.381307e-02
50,test,BC2(right),1.272980e+00
50,test,BC3(top),7.892203e-02
50,test,BC4(left),1.201676e+00
60,train,PDE,4.550090e+03
60,train,BC1(bottom),1.815081e-01
60,train,BC2(right),2.349656e+00
60,train,BC3(top),2.196122e-02
60,train,BC4(left),1.319589e+00
60,test,PDE,4.719794e+03
60,test,BC1(bottom),1.750706e-01
60,test,BC2(right),1.901789e+00
60,test,BC3(top),2.476510e-02
60,test,BC4(left),1.350835e+00
70,train,PDE,3.934763e+03
70,train,BC1(bottom),3.743795e-01
70,train,BC2(right),1.185277e+00
70,train,BC3(top),2.378478e-01
70,train,BC4(left),1.445000e+00
70,test,PDE,4.050373e+03
70,test,BC1(bottom),3.808745e-01
70,test,BC2(right),1.026323e+00
70,test,BC3(top),2.695368e-01
70,test,BC4(left),1.532061e+00
80,train,PDE,3.434929e+03
80,train,BC1(bottom),1.018999e+00
80,train,BC2(right),9.776312e-01
80,train,BC3(top),5.847495e-01
80,train,BC4(left),1.242736e+00
80,test,PDE,3.509224e+03
80,test,BC1(bottom),1.005939e+00
80,test,BC2(right),1.173401e+00
80,test,BC3(top),6.579876e-01
80,test,BC4(left),1.157669e+00
90,train,PDE,2.959903e+03
90,train,BC1(bottom),2.634285e+00
90,train,BC2(right),1.272389e+00
90,train,BC3(top),8.631935e-01
90,train,BC4(left),8.958607e-01
90,test,PDE,3.004479e+03
90,test,BC1(bottom),2.493155e+00
90,test,BC2(right),1.332372e+00
90,test,BC3(top),1.056844e+00
90,test,BC4(left),7.541474e-01
100,train,PDE,2.510846e+03
100,train,BC1(bottom),4.560487e+00
100,train,BC2(right),1.405029e+00
100,train,BC3(top),1.639222e+00
100,train,BC4(left),8.433936e-01
100,test,PDE,2.523148e+03
100,test,BC1(bottom),4.391713e+00
100,test,BC2(right),1.396404e+00
100,test,BC3(top),1.975990e+00
100,test,BC4(left),7.807407e-01
