step,split,component,loss
0,train,PDE,8.766720e+03
0,train,BC(exact u on boundary),4.057178e-04
0,test,PDE,1.025453e+04
0,test,BC(exact u on boundary),4.057178e-04
10,train,PDE,8.765856e+03
10,train,BC(exact u on boundary),2.127559e-02
10,test,PDE,1.025358e+04
10,test,BC(exact u on boundary),2.127559e-02
20,train,PDE,8.739845e+03
20,train,BC(exact u on boundary),8.556049e-02
20,test,PDE,1.022402e+04
20,test,BC(exact u on boundary),8.556049e-02
30,train,PDE,8.717409e+03
30,train,BC(exact u on boundary),8.947023e-01
30,test,PDE,1.019699e+04
30,test,BC(exact u on boundary),8.947023e-01
40,train,PDE,8.669369e+03
40,train,BC(exact u on boundary),6.962858e-01
40,test,PDE,1.013810e+04
40,test,BC(exact u on boundary),6.962858e-01
50,train,PDE,8.651444e+03
50,train,BC(exact u on boundary),5.235569e-01
50,test,PDE,1.011547e+04
50,test,BC(exact u on boundary),5.235569e-01
60,train,PDE,8.632418e+03
60,train,BC(exact u on boundary),6.078997e-01
60,test,PDE,1.008694e+04
60,test,BC(exact u on boundary),6.078997e-01
70,train,PDE,8.613310e+03
70,train,BC(exact u on boundary),6.599633e-01
70,test,PDE,1.006153e+04
70,test,BC(exact u on boundary),6.599633e-01
80,train,PDE,8.565265e+03
80,train,BC(exact u on boundary),6.532625e-01
80,test,PDE,9.999548e+03
80,test,BC(exact u on boundary),6.532625e-01
90,train,PDE,8.452564e+03
90,train,BC(exact u on boundary),1.159080e+00
90,test,PDE,9.852925e+03
90,test,BC(exact u on boundary),1.159080e+00
100,train,PDE,8.207765e+03
100,train,BC(exact u on boundary),1.964423e+00
100,test,PDE,9.526189e+03
100,test,BC(exact u on boundary),1.964423e+00
