iteration,train_loss,test_loss
10,[8.781421e+03 4.316887e+00],[1.0270723e+04 4.3168869e+00]
20,[8.7241299e+03 2.7793473e-02],[1.0204934e+04 2.7793473e-02]
30,[8.289281e+03 2.516985e-01],[9.694597e+03 2.516985e-01]
40,[8.0594634e+03 3.4909308e-01],[9.4118203e+03 3.4909308e-01]
50,[7.5962837e+03 2.2453016e-01],[8.8646064e+03 2.2453016e-01]
60,[7.233563e+03 4.454319e-01],[8.424934e+03 4.454319e-01]
70,[6.5772603e+03 6.3824797e-01],[7.6514775e+03 6.3824797e-01]
80,[5.7723545e+03 1.0767244e+00],[6.6810327e+03 1.0767244e+00]
90,[4.8613413e+03 2.0479350e+00],[5.508461e+03 2.047935e+00]
100,[4.0465447e+03 2.7350667e+00],[4.4524058e+03 2.7350667e+00]
110,[3.3139014e+03 2.6971016e+00],[3.5383379e+03 2.6971016e+00]
