step,split,component,loss
0,train,PDE,1.867428e+03
0,train,BC1(DirichletBC),2.932093e+00
0,train,BC2(DirichletBC),2.660447e+00
0,train,IC1(IC),2.410022e+00
0,train,IC2(OperatorBC),7.015798e+00
0,test,PDE,1.905543e+03
0,test,BC1(DirichletBC),2.932093e+00
0,test,BC2(DirichletBC),2.660447e+00
0,test,IC1(IC),2.410022e+00
0,test,IC2(OperatorBC),7.015798e+00
10,train,PDE,1.013483e+02
10,train,BC1(DirichletBC),5.640937e-01
10,train,BC2(DirichletBC),4.556325e-01
10,train,IC1(IC),1.757853e+00
10,train,IC2(OperatorBC),5.604901e-01
10,test,PDE,1.028693e+02
10,test,BC1(DirichletBC),6.073426e-01
10,test,BC2(DirichletBC),4.451004e-01
10,test,IC1(IC),1.717844e+00
10,test,IC2(OperatorBC),5.604901e-01
20,train,PDE,2.837433e+01
20,train,BC1(DirichletBC),1.036633e+00
20,train,BC2(DirichletBC),6.770769e-01
20,train,IC1(IC),1.211419e+00
20,train,IC2(OperatorBC),2.513859e+00
20,test,PDE,2.868270e+01
20,test,BC1(DirichletBC),1.059109e+00
20,test,BC2(DirichletBC),6.128521e-01
20,test,IC1(IC),1.146383e+00
20,test,IC2(OperatorBC),2.513859e+00
30,train,PDE,1.112276e+01
30,train,BC1(DirichletBC),7.960778e-01
30,train,BC2(DirichletBC),2.946081e-01
30,train,IC1(IC),6.296141e-01
30,train,IC2(OperatorBC),1.359290e+00
30,test,PDE,1.105095e+01
30,test,BC1(DirichletBC),7.766963e-01
30,test,BC2(DirichletBC),3.108487e-01
30,test,IC1(IC),6.224560e-01
30,test,IC2(OperatorBC),1.359290e+00
40,train,PDE,4.777459e+00
40,train,BC1(DirichletBC),2.816286e-01
40,train,BC2(DirichletBC),5.366028e-02
40,train,IC1(IC),5.865199e-01
40,train,IC2(OperatorBC),7.156467e-01
40,test,PDE,4.766906e+00
40,test,BC1(DirichletBC),2.837520e-01
40,test,BC2(DirichletBC),4.562991e-02
40,test,IC1(IC),5.727729e-01
40,test,IC2(OperatorBC),7.156467e-01
50,train,PDE,2.855294e+00
50,train,BC1(DirichletBC),1.284752e-01
50,train,BC2(DirichletBC),7.913609e-03
50,train,IC1(IC),3.807991e-01
50,train,IC2(OperatorBC),3.470519e-01
50,test,PDE,2.849467e+00
50,test,BC1(DirichletBC),1.260579e-01
50,test,BC2(DirichletBC),9.583432e-03
50,test,IC1(IC),3.779579e-01
50,test,IC2(OperatorBC),3.470519e-01
60,train,PDE,1.593082e+00
60,train,BC1(DirichletBC),1.219234e-01
60,train,BC2(DirichletBC),3.094803e-03
60,train,IC1(IC),2.489382e-01
60,train,IC2(OperatorBC),2.346710e-01
60,test,PDE,1.600488e+00
60,test,BC1(DirichletBC),1.256441e-01
60,test,BC2(DirichletBC),3.097807e-03
60,test,IC1(IC),2.605606e-01
60,test,IC2(OperatorBC),2.346710e-01
70,train,PDE,9.889002e-01
70,train,BC1(DirichletBC),7.872701e-02
70,train,BC2(DirichletBC),4.833688e-03
70,train,IC1(IC),1.950693e-01
70,train,IC2(OperatorBC),1.480883e-01
70,test,PDE,9.805982e-01
70,test,BC1(DirichletBC),8.172972e-02
70,test,BC2(DirichletBC),5.586726e-03
70,test,IC1(IC),2.148674e-01
70,test,IC2(OperatorBC),1.480883e-01
80,train,PDE,7.470518e-01
80,train,BC1(DirichletBC),4.137494e-02
80,train,BC2(DirichletBC),1.734249e-02
80,train,IC1(IC),1.844161e-01
80,train,IC2(OperatorBC),1.076138e-01
80,test,PDE,7.527661e-01
80,test,BC1(DirichletBC),4.231983e-02
80,test,BC2(DirichletBC),1.810452e-02
80,test,IC1(IC),2.096172e-01
80,test,IC2(OperatorBC),1.076138e-01
90,train,PDE,5.704458e-01
90,train,BC1(DirichletBC),3.197645e-02
90,train,BC2(DirichletBC),2.637703e-02
90,train,IC1(IC),1.592133e-01
90,train,IC2(OperatorBC),9.414674e-02
90,test,PDE,5.697252e-01
90,test,BC1(DirichletBC),3.397943e-02
90,test,BC2(DirichletBC),2.534453e-02
90,test,IC1(IC),1.830283e-01
90,test,IC2(OperatorBC),9.414674e-02
100,train,PDE,4.407775e-01
100,train,BC1(DirichletBC),2.187153e-02
100,train,BC2(DirichletBC),3.750702e-02
100,train,IC1(IC),1.615504e-01
100,train,IC2(OperatorBC),8.712420e-02
100,test,PDE,4.407026e-01
100,test,BC1(DirichletBC),2.186956e-02
100,test,BC2(DirichletBC),3.490585e-02
100,test,IC1(IC),1.843832e-01
100,test,IC2(OperatorBC),8.712420e-02
