iteration,train_loss,test_loss
0,[3.9383187  1.1332698  0.6439571  0.31545085 7.150662  ],[2.741893   1.1332698  0.6439571  0.31545085 7.150662  ]
10,[0.1194168  0.01173669 0.03853309 0.5115276  0.07600585],[0.11506952 0.01173669 0.03853309 0.5115276  0.07600585]
20,[0.03841393 0.07843278 0.24476668 0.09730742 0.01474781],[0.02842375 0.07843278 0.24476668 0.09730742 0.01474781]
30,[0.03992099 0.00866587 0.02588396 0.21421549 0.05798261],[0.04066222 0.00866587 0.02588396 0.21421549 0.05798261]
40,[0.03143401 0.02488988 0.06775738 0.13831389 0.0048613 ],[0.03159617 0.02488988 0.06775738 0.13831389 0.0048613 ]
50,[0.01240582 0.01891797 0.03307621 0.15823849 0.01108533],[0.01335122 0.01891797 0.03307621 0.15823849 0.01108533]
60,[0.01384519 0.01918023 0.03793729 0.1374852  0.01286602],[0.01405885 0.01918023 0.03793729 0.1374852  0.01286602]
70,[0.01534461 0.02229535 0.04178879 0.12097535 0.00849237],[0.01500149 0.02229535 0.04178879 0.12097535 0.00849237]
80,[0.01520815 0.02428368 0.03476831 0.11706138 0.0064689 ],[0.01439542 0.02428368 0.03476831 0.11706138 0.0064689 ]
90,[0.0152652  0.02199938 0.03442668 0.10907156 0.00680692],[0.01519212 0.02199938 0.03442668 0.10907156 0.00680692]
100,[0.0149703  0.02177459 0.03340075 0.10254221 0.00472827],[0.01423189 0.02177459 0.03340075 0.10254221 0.00472827]
